Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
PAL,Patrick de Paula,M,5.55,0,0,0,0
PAL,Ramires,M,5.08,0,0,0,0
PAL,Raphael Veiga,M,8.85,0,0,0,0
PAL,Renan,L,1.0,0,0,0,0
PAL,Rony,A,9.43,0,0,0,0
PAL,Vinicius Silvestre,G,3.0,0,0,0,0
PAL,Vitor Hugo,Z,4.15,0,0,0,0
PAL,Viña,L,8.06,0,0,0,0
PAL,Wesley,A,3.08,0,0,0,0
PAL,Weverton,G,6.7,0,0,0,0
PAL,Willian,A,9.77,0,0,0,0
PAL,Zé Rafael,M,10.89,0,0,0,0
RBB,Aderlan,L,8.21,0,0,0,0
RBB,Alerrandro,A,13.48,0,0,0,0
RBB,Alex Alves,G,1.0,0,0,0,0
RBB,Artur,A,12.32,0,0,0,0
RBB,Barreto,M,3.5,0,0,0,0
RBB,Bruno Tubarão,M,5.71,0,0,0,0
RBB,Chrigor,A,2.25,0,0,0,0
RBB,Claudinho,A,12.47,0,0,0,0
RBB,Cleiton,G,0.77,0,0,0,0
RBB,Cuello,M,2.0,0,0,0,0
RBB,Edimar,L,3.95,0,0,0,0
RBB,Fabrício Bruno,Z,0.93,0,0,0,0
RBB,Haydar,Z,2.0,0,0,0,0
RBB,Hurtado,A,2.13,0,0,0,0
RBB,Júlio César,G,5.37,0,0,0,0
RBB,Leandrinho,A,2.39,0,0,0,0
RBB,Ligger,Z,3.66,0,0,0,0
RBB,Luan Cândido,L,0.9,0,0,0,0
RBB,Lucas Evangelista,M,5.01,0,0,0,0
RBB,Luis Phelipe,A,4.76,0,0,0,0
RBB,Léo Ortiz,Z,8.55,0,0,0,0
RBB,Matheus Jesus,M,4.54,0,0,0,0
RBB,Morato,A,2.12,0,0,0,0
RBB,Raul,M,7.55,0,0,0,0
RBB,Realpe,Z,3.3,0,0,0,0
RBB,Ricardo Ryller,M,3.45,0,0,0,0
